file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\auth\IAuthEJB.java,tcc.legado.ejb.auth.IAuthEJB,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\UsuarioAuth.java,tcc.legado.model.UsuarioAuth,class,0,0,0,0,8,1,0,0,10,0.625,0.32142857,0.75,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,30,3,0,0,0,0,0,0,6,0,3,0,0,0,0,10,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\dao\LivroDestaqueDAO.java,tcc.legado.dao.LivroDestaqueDAO,class,4,8,4,4,40,1,0,56,66,0.0,0.0,0.0,12,0,10,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,181,8,4,11,11,0,40,28,46,3,46,2,0,0,0,85,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\action\UsuarioAction.java,tcc.legado.action.UsuarioAction,class,10,11,1,10,20,2,0,33,36,0.0,0.0,0.0,9,0,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,101,15,0,6,0,0,48,0,22,1,22,1,0,0,0,63,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\emprestimo\IEmprestimoEJB.java,tcc.legado.ejb.emprestimo.IEmprestimoEJB,interface,1,4,3,1,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\servlet\HealthCheckServlet.java,tcc.legado.servlet.HealthCheckServlet,class,4,4,0,4,1,2,0,3,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\action\AuthAction.java,tcc.legado.action.AuthAction,class,9,9,0,9,6,2,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,3,0,0,13,0,7,0,7,1,0,0,0,33,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\action\LivroDestaqueAction.java,tcc.legado.action.LivroDestaqueAction,class,9,10,1,9,26,2,0,28,1,0.2857143,0.47619048,0.47619048,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,6,108,13,0,11,0,0,51,0,24,0,23,1,0,0,0,56,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\job\MultaDiariaJob.java,tcc.legado.job.MultaDiariaJob,class,5,7,2,5,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,16,0,0,0,1,0,4,0,3,1,3,1,0,0,0,24,1,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\dao\EmprestimoDAO.java,tcc.legado.dao.EmprestimoDAO,class,2,4,2,2,19,1,0,33,21,0.0,0.0,0.0,7,0,6,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,116,5,2,1,7,0,32,13,27,1,27,2,0,0,0,62,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,class,12,15,3,12,33,1,0,52,0,0.64444447,1.0,1.0,9,0,6,3,0,0,6,0,0,0,5,1,0,5,0,0,1,0,17,150,10,3,9,0,0,20,19,34,10,32,2,0,0,0,75,1,6
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\dao\AuthDAO.java,tcc.legado.dao.AuthDAO,class,3,5,2,3,5,1,0,17,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,34,3,0,0,2,0,14,2,6,1,6,2,0,0,0,48,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\usuario\UsuarioEJB.java,tcc.legado.ejb.usuario.UsuarioEJB,class,6,6,0,6,10,1,0,10,0,0.0,1.0,1.0,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,30,3,0,3,0,0,3,0,0,0,1,1,0,0,0,22,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Emprestimo.java,tcc.legado.model.Emprestimo,class,0,6,6,0,14,1,0,0,77,0.85714287,0.07692308,0.07692308,14,0,14,0,0,0,14,0,0,0,7,0,0,7,0,0,0,0,0,51,7,0,0,0,0,0,0,7,0,7,0,0,0,0,17,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\dao\LivroDAO.java,tcc.legado.dao.LivroDAO,class,3,7,4,3,16,1,0,35,15,0.0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,103,4,1,1,6,0,26,17,22,2,22,2,0,0,0,62,1,0
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\job\AtualizarMaisEmprestadosJob.java,tcc.legado.job.AtualizarMaisEmprestadosJob,class,7,9,2,7,4,1,0,27,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,49,1,1,0,1,0,12,11,8,5,8,2,0,0,0,41,1,5
