file,class,method,variable,usage
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,listarTodos/0,livroDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,getEmprestimoService/0,LOG,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,buscarPorId/1[java.lang.Long],livroDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,atualizar/1[tcc.legado.model.Livro],LOG,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,atualizar/1[tcc.legado.model.Livro],livroDAO,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,excluir/1[java.lang.Long],LOG,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroService.java,tcc.legado.service.LivroService,excluir/1[java.lang.Long],livroDAO,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,atualizar/1[tcc.legado.model.Usuario],usuarioDAO,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,buscarPorMatricula/1[java.lang.String],usuarioDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,listarTodos/0,usuarioDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,salvar/1[tcc.legado.model.Usuario],usuarioDAO,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,buscarPorId/1[java.lang.Long],usuarioDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\UsuarioService.java,tcc.legado.service.UsuarioService,excluir/1[java.lang.Long],usuarioDAO,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,listarTodos/0,service,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,buscarPorId/1[java.lang.Long],service,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,salvar/1[tcc.legado.model.LivroDestaque],service,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,excluir/1[java.lang.Long],service,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,listarAtivos/0,service,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,visualizar/1[java.lang.Long],service,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\destaque\LivroDestaqueEJB.java,tcc.legado.ejb.destaque.LivroDestaqueEJB,atualizar/1[tcc.legado.model.LivroDestaque],service,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getDataFim/0,dataFim,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setIdLivro/1[java.lang.Long],idLivro,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getId/0,id,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setVisualizacoes/1[java.lang.Integer],visualizacoes,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setAtivo/1[java.lang.Boolean],ativo,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setDescricao/1[java.lang.String],descricao,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setCategoria/1[java.lang.String],categoria,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getTitulo/0,titulo,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setTitulo/1[java.lang.String],titulo,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getCategoria/0,categoria,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getVisualizacoes/0,visualizacoes,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getDescricao/0,descricao,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getAtivo/0,ativo,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setDesconto/1[java.lang.Double],desconto,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getDesconto/0,desconto,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setDataInicio/1[java.util.Date],dataInicio,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setDataFim/1[java.util.Date],dataFim,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,setId/1[java.lang.Long],id,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,"LivroDestaque/4[java.lang.Long,java.lang.String,java.lang.String,java.lang.Double]",ativo,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,"LivroDestaque/4[java.lang.Long,java.lang.String,java.lang.String,java.lang.Double]",desconto,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,"LivroDestaque/4[java.lang.Long,java.lang.String,java.lang.String,java.lang.Double]",visualizacoes,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,"LivroDestaque/4[java.lang.Long,java.lang.String,java.lang.String,java.lang.Double]",idLivro,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,"LivroDestaque/4[java.lang.Long,java.lang.String,java.lang.String,java.lang.Double]",titulo,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,"LivroDestaque/4[java.lang.Long,java.lang.String,java.lang.String,java.lang.Double]",descricao,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getIdLivro/0,idLivro,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\LivroDestaque.java,tcc.legado.model.LivroDestaque,getDataInicio/0,dataInicio,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,setNome/1[java.lang.String],nome,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,setEmail/1[java.lang.String],email,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,getTipo/0,tipo,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,setId/1[java.lang.Long],id,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,"Usuario/5[java.lang.Long,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",tipo,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,"Usuario/5[java.lang.Long,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",matricula,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,"Usuario/5[java.lang.Long,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",nome,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,"Usuario/5[java.lang.Long,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",id,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,"Usuario/5[java.lang.Long,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",email,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,setMatricula/1[java.lang.String],matricula,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,getId/0,id,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,getMatricula/0,matricula,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,toString/0,tipo,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,toString/0,matricula,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,toString/0,nome,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,toString/0,id,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,toString/0,email,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,toString/0,perfil,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,getPerfil/0,perfil,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,getNome/0,nome,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,setPerfil/1[java.lang.String],perfil,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,getEmail/0,email,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\Usuario.java,tcc.legado.model.Usuario,setTipo/1[java.lang.String],tipo,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\CacheGlobal.java,tcc.legado.util.CacheGlobal,get/1[java.lang.String],CACHE,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\util\CacheGlobal.java,tcc.legado.util.CacheGlobal,"put/2[java.lang.String,java.lang.Object]",CACHE,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\livro\LivroEJB.java,tcc.legado.ejb.livro.LivroEJB,listarTodos/0,livroService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\livro\LivroEJB.java,tcc.legado.ejb.livro.LivroEJB,buscarPorId/1[java.lang.Long],livroService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\livro\LivroEJB.java,tcc.legado.ejb.livro.LivroEJB,atualizar/1[tcc.legado.model.Livro],livroService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\livro\LivroEJB.java,tcc.legado.ejb.livro.LivroEJB,excluir/1[java.lang.Long],livroService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\livro\LivroEJB.java,tcc.legado.ejb.livro.LivroEJB,salvar/1[tcc.legado.model.Livro],livroService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\job\QuartzInitializer.java,tcc.legado.job.QuartzInitializer,agendarJobs/1[tcc.legado.job.Scheduler],LOG,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\job\QuartzInitializer.java,tcc.legado.job.QuartzInitializer,init/0,LOG,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\ejb\auth\AuthEJB.java,tcc.legado.ejb.auth.AuthEJB,"autenticar/2[java.lang.String,java.lang.String]",authService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroDestaqueService.java,tcc.legado.service.LivroDestaqueService,atualizar/1[tcc.legado.model.LivroDestaque],dao,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroDestaqueService.java,tcc.legado.service.LivroDestaqueService,listarAtivos/0,dao,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroDestaqueService.java,tcc.legado.service.LivroDestaqueService,listarTodos/0,dao,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroDestaqueService.java,tcc.legado.service.LivroDestaqueService,salvar/1[tcc.legado.model.LivroDestaque],dao,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroDestaqueService.java,tcc.legado.service.LivroDestaqueService,excluir/1[java.lang.Long],dao,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroDestaqueService.java,tcc.legado.service.LivroDestaqueService,buscarPorId/1[java.lang.Long],dao,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\LivroDestaqueService.java,tcc.legado.service.LivroDestaqueService,visualizar/1[java.lang.Long],dao,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\AuthService.java,tcc.legado.service.AuthService,"autenticar/2[java.lang.String,java.lang.String]",authDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\UsuarioAuth.java,tcc.legado.model.UsuarioAuth,getMatricula/0,matricula,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\UsuarioAuth.java,tcc.legado.model.UsuarioAuth,setSenha/1[java.lang.String],senha,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\UsuarioAuth.java,tcc.legado.model.UsuarioAuth,getPerfil/0,perfil,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\UsuarioAuth.java,tcc.legado.model.UsuarioAuth,getSenha/0,senha,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\UsuarioAuth.java,tcc.legado.model.UsuarioAuth,"UsuarioAuth/3[java.lang.String,java.lang.String,java.lang.String]",senha,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\UsuarioAuth.java,tcc.legado.model.UsuarioAuth,"UsuarioAuth/3[java.lang.String,java.lang.String,java.lang.String]",matricula,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\UsuarioAuth.java,tcc.legado.model.UsuarioAuth,"UsuarioAuth/3[java.lang.String,java.lang.String,java.lang.String]",perfil,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\UsuarioAuth.java,tcc.legado.model.UsuarioAuth,setPerfil/1[java.lang.String],perfil,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\model\UsuarioAuth.java,tcc.legado.model.UsuarioAuth,setMatricula/1[java.lang.String],matricula,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\action\LivroDestaqueAction.java,tcc.legado.action.LivroDestaqueAction,"excluir/4[tcc.legado.action.ActionMapping,tcc.legado.action.ActionForm,tcc.legado.action.HttpServletRequest,tcc.legado.action.HttpServletResponse]",dao,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\action\LivroDestaqueAction.java,tcc.legado.action.LivroDestaqueAction,"visualizar/4[tcc.legado.action.ActionMapping,tcc.legado.action.ActionForm,tcc.legado.action.HttpServletRequest,tcc.legado.action.HttpServletResponse]",dao,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\action\LivroDestaqueAction.java,tcc.legado.action.LivroDestaqueAction,"salvar/4[tcc.legado.action.ActionMapping,tcc.legado.action.ActionForm,tcc.legado.action.HttpServletRequest,tcc.legado.action.HttpServletResponse]",dao,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\action\LivroDestaqueAction.java,tcc.legado.action.LivroDestaqueAction,"listar/4[tcc.legado.action.ActionMapping,tcc.legado.action.ActionForm,tcc.legado.action.HttpServletRequest,tcc.legado.action.HttpServletResponse]",dao,3
